name,blas_target,blas_pred,blas_error,blas_abs_error,target_category,pred_category,category_error
S316-F39.png,0.0,0.9688151856487275,0.9688151856487275,0.9688151856487275,low,high,True
S316-F78.png,0.0,0.9619439173518871,0.9619439173518871,0.9619439173518871,low,high,True
S316-F66.png,0.0,0.9563567362428844,0.9563567362428844,0.9563567362428844,low,high,True
S01-F12.png,0.0,0.9367063492063491,0.9367063492063491,0.9367063492063491,low,high,True
S01-F56.png,0.0,0.9077302008336491,0.9077302008336491,0.9077302008336491,low,high,True
S443-F25.png,0.0,0.851123595505618,0.851123595505618,0.851123595505618,low,intermediate,True
S80-F19.png,0.9797051911984619,0.2671261487050961,-0.7125790424933658,0.7125790424933658,high,low,True
S104-F05.png,0.0,0.7021604938271605,0.7021604938271605,0.7021604938271605,low,intermediate,True
S379-F49.png,0.0,0.4960198355735352,0.4960198355735352,0.4960198355735352,low,low,False
S305-F27.png,0.03788265306122449,0.5006534727408514,0.46277081967962685,0.46277081967962685,low,intermediate,True
